Dictionary	Ranker	Mean	SD	Failure Rate (%)
data/dracos_github_words.txt	ProgressDuplicateRanker(SubstringRanker(3),100,4)	3.329480	1.040286	8.222812
data/dracos_github_words.txt	ProgressDuplicateRanker(PositionRanker(),100,6)	3.278409	0.975140	6.631300
data/dracos_github_words.txt	ProgressDuplicateRanker(PositionRanker(),100,3)	3.440580	0.985448	8.488064
data/dracos_github_words.txt	ProgressDuplicateRanker(PositionRanker(),100,4)	3.298295	0.990981	6.631300
data/medium_wordle_words_todate.txt	RandomRanker(1)	2.307692	0.852999	0.000000
data/medium_wordle_words_todate.txt	LetterRanker()	2.424403	0.742952	0.000000
data/medium_wordle_words_todate.txt	SubstringRanker(2)	2.175066	0.757711	0.000000
data/medium_wordle_words_todate.txt	SubstringRanker(3)	2.251989	0.733910	0.000000
data/medium_wordle_words_todate.txt	DuplicateRanker(LetterRanker(),100,7)	1.957560	0.641866	0.000000
data/medium_wordle_words_todate.txt	DuplicateRanker(SubstringRanker(2),100,7)	2.092838	0.709449	0.000000
data/medium_wordle_words_todate.txt	DuplicateRanker(SubstringRanker(3),100,7)	2.220159	0.696194	0.000000
data/medium_wordle_words_todate.txt	DuplicateRanker(LetterRanker(),100,2)	1.986737	0.669403	0.000000
data/medium_wordle_words_todate.txt	DuplicateRanker(SubstringRanker(2),100,2)	2.138298	0.759354	0.265252
data/medium_wordle_words_todate.txt	DuplicateRanker(SubstringRanker(3),100,2)	2.254642	0.738402	0.000000
data/medium_wordle_words_todate.txt	DuplicateRanker(LetterRanker(),100,3)	1.957560	0.641866	0.000000
data/medium_wordle_words_todate.txt	DuplicateRanker(SubstringRanker(2),100,3)	2.098143	0.719875	0.000000
data/medium_wordle_words_todate.txt	DuplicateRanker(SubstringRanker(3),100,3)	2.225464	0.705859	0.000000
data/medium_wordle_words_todate.txt	PositionRanker()	2.042440	0.766197	0.000000
data/medium_wordle_words_todate.txt	DuplicateRanker(PositionRanker(),100,7)	2.007958	0.765600	0.000000
data/medium_wordle_words_todate.txt	DuplicateRanker(PositionRanker(),100,2)	2.045093	0.801579	0.000000
data/medium_wordle_words_todate.txt	DuplicateRanker(PositionRanker(),100,3)	2.015915	0.784303	0.000000
data/medium_wordle_words_todate.txt	WordFrequencyRanker(DuplicateRanker(LetterRanker(),100,7),"data/five_letter_freq.csv")	2.190981	0.767803	0.000000
data/medium_wordle_words_todate.txt	WordFrequencyRanker(DuplicateRanker(LetterRanker(),100,3),"data/five_letter_freq.csv")	2.190981	0.767803	0.000000
data/medium_wordle_words_todate.txt	WordFrequencyRanker(DuplicateRanker(SubstringRanker(2),100,7),"data/five_letter_freq.csv")	2.190981	0.767803	0.000000
data/medium_wordle_words_todate.txt	WordFrequencyRanker(DuplicateRanker(SubstringRanker(3),100,7),"data/five_letter_freq.csv")	2.190981	0.767803	0.000000
data/medium_wordle_words_todate.txt	WordFrequencyRanker(DuplicateRanker(SubstringRanker(2),100,3),"data/five_letter_freq.csv")	2.190981	0.767803	0.000000
